system,strategy,avg_tokens,cost_per_query,cost_per_1k
Random Baseline,—,0.0,0.0,0.0
BERT-base,Encoder (free),0.0,0.0,0.0
DeBERTa-v3-small,Encoder (free),0.0,0.0,0.0
RoBERTa-base,Encoder (free),0.0,0.0,0.0
DeBERTa-v3-base,Encoder (free),0.0,0.0,0.0
DeBERTa-v3-large,Encoder (free),0.0,0.0,0.0
GPT-4o P1_zero_shot,P1_zero_shot,74.9775,0.000204281249999993,0.20428124999999298
GPT-4o P2_zero_shot_def,P2_zero_shot_def,101.9725,0.00027173124999999606,0.27173124999999604
GPT-4o P3_few_shot,P3_few_shot,141.52,0.00037470625,0.37470625
GPT-4o P4_few_shot_cot,P4_few_shot_cot,155.9675,0.0004066812499999997,0.4066812499999997
GPT-4o P5_few_shot_32,P5_few_shot_32,1401.0975,0.00352048125,3.52048125
GPT-5 P1_zero_shot,P1_zero_shot,424.625,0.01483302499999999,14.833024999999989
GPT-5 P2_zero_shot_def,P2_zero_shot_def,448.715,0.014986624999999991,14.986624999999991
GPT-5 P3_few_shot,P3_few_shot,540.9933333333333,0.017542333333333326,17.542333333333325
Claude Sonnet P1_zero_shot,P1_zero_shot,85.22125,0.0003120037499999964,0.3120037499999964
Claude Sonnet P2_zero_shot_def,P2_zero_shot_def,114.19875,0.0003986662499999941,0.3986662499999941
Claude Sonnet P3_few_shot,P3_few_shot,269.41375,0.002234891249999989,2.2348912499999893
Llama 3.3 P1_zero_shot,P1_zero_shot,103.06,0.0,0.0
Hybrid v1 θ=0.85,DeBERTa+GPT-4o,4.525,1.1865625e-05,0.011865625000000001
Hybrid v1 θ=0.9,DeBERTa+GPT-4o,5.0325,1.325625e-05,0.01325625
Hybrid v1 θ=0.95,DeBERTa+GPT-4o,8.74625,2.290625e-05,0.02290625
Hybrid v2 θ=0.85,DeBERTa+Claude,8.81125,6.634875000000001e-05,0.06634875000000001
Hybrid v2 θ=0.9 ★,DeBERTa+Claude,9.775,7.3575e-05,0.073575
Hybrid v2 θ=0.95,DeBERTa+Claude,16.89375,0.00012631124999999989,0.12631124999999988
Hybrid v3 θ=0.85,DeBERTa+GPT-4o 32s,54.4575,0.000136584375,0.136584375
Hybrid v3 θ=0.9,DeBERTa+GPT-4o 32s,60.5025,0.00015172499999999985,0.15172499999999986
Hybrid v3 θ=0.95,DeBERTa+GPT-4o 32s,103.05625,0.0002583999999999997,0.25839999999999974
Hybrid v4 θ=0.85,DeBERTa-large+GPT-4o,2.225,5.853124999999999e-06,0.005853124999999999
Hybrid v4 θ=0.9,DeBERTa-large+GPT-4o,2.75875,7.4125e-06,0.0074125
Hybrid v4 θ=0.95,DeBERTa-large+GPT-4o,4.81,1.2625e-05,0.012625
Hybrid v5 (Ensemble Gate),3-DeBERTa + GPT-4o CoT,35.91,0.0002879031249999976,0.2879031249999976
